[RuleAuthor] 1 authored rule(s): 1 minted, 0 revised, 0 unchanged.
  + 923841006dd9c024  totem-claude :: 6ad0d4d5c760a5d6: Technical documentation must avoid marketing-centric terms

[RuleAuthor] WARNING: 13 rule(s) REJECTED — not structurally decidable, excluded from the producer output:
  x totem-claude :: 427c97fb0063f0cb: Avoid using partial matchers like toContain when testing: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 71935fe9a742137b@javascript: Using String() casting on input patterns can lead to silent: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 71935fe9a742137b@typescript: Using String() casting on input patterns can lead to silent: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 54140f59be3e6e44: Issue numbers are only unique within a single repository;: no unambiguous whitelist match for (regex, bare-issue-reference) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 4f283f5495489a19: Replacing inline fs.rmSync calls with a shared helper: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: bc8b99e815c3943f: Standard console.log or console.error calls in MCP tools: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 2266fc0dfe824f24: Static top-level imports from heavy internal packages delay: no unambiguous whitelist match for (ast-grep, static-import-from-module) — not structurally decidable (ADR-112 §3)
  x totem-claude :: a190836df4daa24d: Use git adapter instead of raw git execution: no unambiguous whitelist match for (regex, forbidden-callee-literal-arg) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 87aff037d7de47a7: Ban fail-open catch blocks that skip re-throwing: no unambiguous whitelist match for (ast-grep, catch-without-rethrow) — not structurally decidable (ADR-112 §3)
  x totem-claude :: a1fd35ee696110b0: Dynamic imports intended for performance optimization: no unambiguous whitelist match for (ast-grep, forbidden-callee-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 61bb8b8b88d2ecab: Perform explicit null and type checks on the results: no unambiguous whitelist match for (ast-grep, type-assertion-on-call) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 1210f02da9f16e5b: Using domain-specific error subclasses instead of raw Error: no unambiguous whitelist match for (ast-grep, forbidden-constructor-throw) — not structurally decidable (ADR-112 §3)
  x totem-claude :: 7056157a6bf72fa8: Instead of hardcoding .git/hooks, use 'git rev-parse: no unambiguous whitelist match for (regex, forbidden-path-literal) — not structurally decidable (ADR-112 §3)
